run_id,conductivity,temperature,voltage,timestamp,anomaly_C,anomaly_T,anomaly_V,anomaly_label
JUL_22_3,58.14,49.65,3.31,2025-07-22 14:25:06,0,0,0,0
JUL_22_3,58.28,49.66,3.306,2025-07-22 14:25:08,0,0,0,0
JUL_22_3,58.14,49.66,3.294,2025-07-22 14:25:10,0,0,0,0
JUL_22_3,58.08,49.66,3.324,2025-07-22 14:25:12,0,0,0,0
JUL_22_3,58.22,49.67,3.306,2025-07-22 14:25:14,0,0,0,0
JUL_22_3,58.08,49.66,3.314,2025-07-22 14:25:16,0,0,0,0
JUL_22_3,58.22,49.66,3.301,2025-07-22 14:25:18,0,0,0,0
JUL_22_3,58.22,49.67,3.29,2025-07-22 14:25:20,0,0,0,0
JUL_22_3,58.22,49.66,3.31,2025-07-22 14:25:22,0,0,0,0
JUL_22_3,58.28,49.67,3.311,2025-07-22 14:25:24,0,0,0,0
JUL_22_3,58.22,49.67,3.309,2025-07-22 14:25:26,0,0,0,0
JUL_22_3,58.28,49.66,3.32,2025-07-22 14:25:28,0,0,0,0
JUL_22_3,58.14,49.66,3.301,2025-07-22 14:25:30,0,0,0,0
JUL_22_3,58.14,49.67,3.298,2025-07-22 14:25:32,0,0,0,0
JUL_22_3,58.14,49.66,3.298,2025-07-22 14:25:34,0,0,0,0
JUL_22_3,58.22,49.68,3.303,2025-07-22 14:25:36,0,0,0,0
JUL_22_3,58.22,49.66,3.302,2025-07-22 14:25:38,0,0,0,0
JUL_22_3,58.14,49.66,3.303,2025-07-22 14:25:40,0,0,0,0
JUL_22_3,58.22,49.68,3.303,2025-07-22 14:25:42,0,0,0,0
JUL_22_3,58.14,49.66,3.295,2025-07-22 14:25:44,0,0,0,0
JUL_22_3,58.22,49.67,3.29,2025-07-22 14:25:46,0,0,0,0
JUL_22_3,58.28,49.69,3.286,2025-07-22 14:25:48,0,0,0,0
JUL_22_3,58.22,49.68,3.277,2025-07-22 14:25:50,0,0,0,0
JUL_22_3,58.28,49.68,3.297,2025-07-22 14:25:52,0,0,0,0
